Question,A,B,C,D,Solution
"What is the purpose of the static"" keyword in Java?""","To declare a variable that belongs to the class, not the instance.",To define a constant variable.,To indicate that a method cannot be overridden.,To create a new instance of a class.,A
How is multiple inheritance achieved in Java?,Using interfaces,Using abstract classes,Using final classes,It is not possible in Java.,A
Which of the following is not a primitive data type in Java?,int,float,char[],boolean,C
What is the default value of the local variables in Java?,0,null,Depends on the data type,1,C
"What does the term JVM"" stand for?""",Java Variable Manager,Java Virtual Machine,Java Visual Model,Java Verification Module,B
Which loop is guaranteed to execute at least once in Java?,for,while,do-while,if-else,C
"What is the purpose of the this"" keyword in Java?""",To refer to the current instance of the class,To declare a variable as an instance variable,To create a new instance of a class,To access static members of a class,A
"What is the role of the super"" keyword in Java?""",To call the superclass method,To create a new instance of a class,To refer to the current instance of the class,To access static members of a class,A
How is exception handling implemented in Java?,Using try-catch blocks,Using if-else statements,Using switch statements,Using loops,A
"What is the purpose of the break"" statement in Java?""",To exit from a loop or switch statement,To terminate the program,To skip the current iteration of a loop,To resume the execution of the program,A
Which of the following is a marker interface in Java?,Serializable,Cloneable,Both Serializable and Cloneable,Runnable,C
"What is the purpose of the finalize"" method in Java?""",To force garbage collection,To perform cleanup operations before an object is garbage collected,To release system resources,To create a new instance of a class,B
How can you achieve encapsulation in Java?,By using access modifiers,By using inheritance,By using polymorphism,By using interfaces,A
"What is the purpose of the interface"" keyword in Java?""",To declare a new class,To declare a new method,To declare a new interface,To declare a new variable,C
"What is the output of the following code? 
int x = 10; 
System.out.println(x > 5 ? Greater"" : ""Smaller"");""",Greater,Smaller,Compilation Error,Runtime Error,A
"What is the purpose of the throws"" clause in Java?""",To declare checked exceptions that a method might throw,To declare unchecked exceptions that a method might throw,To declare the main method,To declare a variable,A
Which method is called when an object is garbage collected in Java?,finalize(),dispose(),destroy(),cleanup(),A
"What is the purpose of the toString"" method in Java?""",To convert an object to a string,To concatenate two strings,To compare two strings,To find the length of a string,A
Which collection class is synchronized in Java?,ArrayList,HashSet,Vector,LinkedList,C
